reactant,product,XLogP,TPSA
CCS(=O)(=O)Cl.OCCBr,CCS(=O)(=O)OCCBr,0.8,51.8
CC(C)CS(=O)(=O)Cl.OCCCl,CC(C)CS(=O)(=O)OCCCl,1.6,51.8
O=[N+]([O-])c1cccc2cnc(Cl)cc12,Nc1cccc2cnc(Cl)cc12,2.4,38.9
Cc1cc2c([N+](=O)[O-])cccc2c[n+]1[O-].O=P(Cl)(Cl)Cl,Cc1cc2c([N+](=O)[O-])cccc2c(Cl)n1,3.3,58.7
CCCCC[C@H](O)C=CC1C=CC(=O)C1CC=CCCCC(=O)O,CCCCC[C@H](O)C=CC1CCC(=O)C1CC=CCCCC(=O)O,3.8,74.6
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(OC(C)=O)c3ccccc3)[C@H]2SC1,CC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1,-3.1,109.0
COc1cccc(C2(CC(Cl)(Cl)Cl)CO2)c1.ClC(Cl)(Cl)CC1(c2ccc(Br)cc2)CO1,ClC(Cl)(Cl)CC1(c2cccc(Br)c2)CO1,4.1,12.5
COc1cc2ccccc2cc1C(=O)O.O=S(Cl)Cl,COc1cc2ccccc2cc1C(=O)Cl,3.7,26.3
CCN(CC)CC.O.O=C(Cl)Oc1ccccc1,Oc1ccccc1Cc1ccccc1O,3.1,40.5
CCOC(N)=O.Cc1ccc(N=C=O)cc1N=C=O,O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,5.3,58.9
CCO.CN1c2ccccc2CC(=O)c2cc(Br)ccc21,CCOC1=Cc2ccccc2N(C)c2ccc(Br)cc21,4.8,12.5
CCOC(=O)CC1(O)Cc2ccccc2N(C)c2ccc(SCC)cc21,CCOC(=O)C=C1Cc2ccccc2N(C)c2ccc(SCC)cc21,4.7,54.8
CCOC(=O)C=C1Cc2ccccc2N(C)c2ccc(SCC)cc21,CCSc1ccc2c(c1)C(CC(=O)O)=Cc1ccccc1N2C,4.0,65.8
CCSc1ccc2c(c1)C(CC(=O)Oc1ccc([N+](=O)[O-])cc1)=Cc1ccccc1N2C.CNC,CCSc1ccc2c(c1)C(CC(=O)N(C)C)=Cc1ccccc1N2C,3.9,48.8
CCSc1ccc2c(c1)C(CC(=O)N(C)C)=Cc1ccccc1N2C,CCSc1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C,4.8,31.8
CCSc1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C.O.[OH-],CCS(=O)(=O)c1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C,3.5,49.0
Nc1cc2c(cc1Br)nc1n2CCC1.[C-]#N,N#Cc1cc2c(cc1Br)nc1n2CCC1,2.2,41.6
Cl.Nc1ccc2nc3n(c2c1)CCC3,Clc1ccc2nc3n(c2c1)CCC3,2.4,17.8
CCOC(=O)c1ccc2c(c1)nc1n2CCC1,O=C(O)c1ccc2c(c1)nc1n2CCC1,1.3,55.1
CC(C)(C)NN.O=C1CCCCC1.[C-]#N,CC(C)(C)NNC1(C#N)CCCCC1,1.9,47.8
CC(C)(C)NN.O=C1CCCCC1.[C-]#N,CC(C)(C)NNC1(C#N)CCCCC1,1.9,47.8
CC1CC(C)(C)CC(C#N)(NNC(C)(C)C)C1,CC1CC(C)(C)CC(C#N)(N=NC(C)(C)C)C1,4.0,48.5
C#N.CC(=NNC(C)(C)C)C1CC1,CC(C)(C)NNC(C)(C#N)C1CC1,1.3,47.8
CC(C)(C)NNC(C)(C#N)C1CC1,CC(C)(C)N=NC(C)(C#N)C1CC1,2.1,48.5
CC(C)(C)NNC(C)(C#N)C1CC1.O=C1CCCCCCC1,CC(C)(C)NNC1(C#N)CCCCCCC1,3.0,47.8
CC(C)(C)NNC1(C#N)CCCCCCC1,CC(C)(C)N=NC1(C#N)CCCCCCC1,3.8,48.5
CC(C)(C)NNC1(C#N)CCCCCC1,CC(C)(C)N=NC1(C#N)CCCCCC1,3.3,48.5
CC(CC(C)C)=NNC(C)(C)C.ClCl,CC(C)CC(C)(Cl)N=NC(C)(C)C,3.8,24.7
CCCCCCC(Cl)(CCCCCCCCCCC(=O)O)N=NC(C)(C)C.[C-]#N,CCCCCCC(C#N)(CCCCCCCCCCC(=O)O)N=NC(C)(C)C,7.7,85.8
CCOC(=O)CC(C)(C#N)N=NC(C)(C)C,CC(C)(C)N=NC(C)(C#N)CC(=O)O,0.9,85.8
CC(C)(C)N=NC(C)(C)C#N.NO,CC(C)(C)N=NC(C)(C)C(N)=NO,1.2,83.3
Nc1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C(Cl)C1CC1,O=C(O)c1ccc(NC(=O)C2CC2)cc1[N+](=O)[O-],1.1,112.0
Nc1ccc(C(=O)O)cc1[N+](=O)[O-].O=C(Cl)C1CC1,O=C(O)c1ccc(NC(=O)C2CC2)c([N+](=O)[O-])c1,1.1,112.0
CCN(CC)CC.Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CC1,O=C(O)c1ccc(NC(=O)C2CCCC2)cc1,2.8,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)CCC1CCCC1,O=C(CCC1CCCC1)Nc1ccc(C(=O)O)cc1,3.1,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)CCC1CCCCC1,O=C(CCC1CCCCC1)Nc1ccc(C(=O)O)cc1,3.7,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)C1=CCCCC1,O=C(Nc1ccc(C(=O)O)cc1)C1=CCCCC1,2.5,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CC=CCC1,O=C(O)c1ccc(NC(=O)C2CC=CCC2)cc1,2.1,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CCCCCC1,O=C(O)c1ccc(NC(=O)C2CCCCCC2)cc1,3.2,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CCC=CCC1,O=C(O)c1ccc(NC(=O)C2CCC=CCC2)cc1,2.5,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)CC1CC2CCC1C2,O=C(CC1CC2CCC1C2)Nc1ccc(C(=O)O)cc1,3.0,66.4
Nc1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C(Cl)c1ccc([N+](=O)[O-])cc1,O=C(Nc1ccc(C(=O)O)c([N+](=O)[O-])c1)c1ccc([N+](=O)[O-])cc1,2.1,158.0
Nc1ccc(CC(=O)O)cc1.O=C(Cl)C1CCC1,O=C(O)Cc1ccc(NC(=O)C2CCC2)cc1,1.6,66.4
Nc1ccc(C(=O)O)c(O)c1.O=C(Cl)C1CCCC1,O=C(O)c1ccc(NC(=O)C2CCCC2)cc1O,3.2,86.6
COc1cc(C(=O)Cl)cc(OC)c1OC.Nc1ccc(C=CC(=O)O)cc1,COc1cc(C(=O)Nc2ccc(C=CC(=O)O)cc2)cc(OC)c1OC,2.6,94.1
C1COCCN1.C=O.CC(C)C(C(N)=S)c1ccccn1,CC(C)C(C(=S)NCN1CCOCC1)c1ccccn1,1.8,69.5
C1COCCN1.CCCCCC.CO.NC(=S)Cc1ccccn1,S=C(NCN1CCOCC1)C(c1ccccc1)c1ccccn1,2.2,69.5
CC(Cl)c1cscn1.CS(C)=O.[C-]#N,CC(C#N)c1cscn1,1.2,64.9
C[Mg]Cl.N#Cc1ccncn1.O=C([O-])[O-],CC(=O)c1ccncn1,0.2,42.8
C=CC(C#N)c1cccc(C)n1.S,C=CC(C(N)=S)c1cccc(C)n1,1.5,71.0
C1COCCN1.C=O.NC(=S)C(Cc1ccccc1)c1ccccn1,S=C(NCN1CCOCC1)C(Cc1ccccc1)c1ccccn1,2.5,69.5
C=O.CC(C)C(C(N)=S)c1ccccn1.CNc1ccccc1,CC(C)C(C(=S)NCN(C)c1ccccc1)c1ccccn1,4.0,60.2
NN1CC(=O)NC1=O.O=C(Cl)C=Cc1ccccc1,O=C(C=Cc1ccccc1)NN1CC(=O)NC1=O,0.7,78.5
Cc1ccc(C=CC(=O)O)cc1Cl.NN1CC(=O)NC1=O,Cc1ccc(C=CC(=O)NN2CC(=O)NC2=O)cc1Cl,1.7,78.5
NN1CC(=O)NC1=O.O=C(O)C=Cc1ccc(Cl)cc1,O=C(C=Cc1ccc(Cl)cc1)NN1CC(=O)NC1=O,1.4,78.5
NN1CC(=O)NC1=O.O=C(O)C=Cc1ccc(Cl)c(C(F)(F)F)c1,O=C(C=Cc1ccc(Cl)c(C(F)(F)F)c1)NN1CC(=O)NC1=O,2.2,78.5
NN1CC(=O)NC1=O.O=C(O)C=Cc1ccc(F)cc1,O=C(C=Cc1ccc(F)cc1)NN1CC(=O)NC1=O,0.8,78.5
CCc1ccc(C=CC(=O)O)cc1Cl.NN1CC(=O)NC1=O,CCc1ccc(C=CC(=O)NN2CC(=O)NC2=O)cc1Cl,2.2,78.5
NN1CC(=O)NC1=O.O=C(O)C=Cc1cccc(F)c1,O=C(C=Cc1cccc(F)c1)NN1CC(=O)NC1=O,0.8,78.5
O=C(O)CC(=O)O.O=Cc1ccc(F)c(Cl)c1,O=C(O)C=Cc1ccc(F)c(Cl)c1,2.6,37.3
CC(=O)OC(C)=O.CNC(=O)N1CC(=Cc2ccccc2)C2=NNC(c3ccccc3)C2C1,CNC(=O)N1CC(=Cc2ccccc2)C2=NN(C(C)=O)C(c3ccccc3)C2C1,2.1,65.0
CN(C)CC(=O)N1CC(=Cc2ccccc2)C2=NN(C)C(c3ccccc3)C2C1.OO,CN(C)CC(=O)N1CC(=Cc2ccccc2)C2=[N+]([O-])N(C)C(c3ccccc3)C2C1,2.5,55.5
C1COCCN1.Cc1cc2c(cc1Cl)c(-c1ccccc1)o[n+]2C(C)(C)C,Cc1cc2c(cc1Cl)C(c1ccccc1)(N1CCOCC1)ON2C(C)(C)C,4.9,24.9
C1COCCN1.CC(C)(C)[n+]1oc(-c2ccccc2)c2cc(Cl)ccc21,CC(C)(C)N1OC(c2ccccc2)(N2CCOCC2)c2cc(Cl)ccc21,4.6,24.9
CN=C=O.O=C(O)C(S)c1ccccc1,CNC(=O)SC(C(=O)O)c1ccccc1,1.8,91.7
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1.Cc1nnc(S)s1,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(N)C3SC2)s1,-3.2,188.0
NCc1cccnc1.O=C(O)C1Oc2ccc(Cl)cc2Cc2cc(Cl)ccc2O1,O=C(NCc1cccnc1)C1Oc2ccc(Cl)cc2Cc2cc(Cl)ccc2O1,4.7,60.4
Cc1ccc(O)c(Cc2cc(C)ccc2O)c1.O=C(O)C(Cl)Cl,Cc1ccc2c(c1)Cc1cc(C)ccc1OC(C(=O)O)O2,4.0,55.8
CO.Cc1ccc2c(c1)Cc1cc(C)ccc1OC(C(=O)O)O2,COC(=O)C1Oc2ccc(C)cc2Cc2cc(C)ccc2O1,4.3,44.8
Cc1c(CS(C)=O)[n+]([O-])c2ccccc2[n+]1[O-],CS(=O)Cc1c[n+]([O-])c2ccccc2[n+]1[O-],-1.0,82.7
CCCS(=O)Cc1c[n+]([O-])c2ccccc2[n+]1[O-],CCS(=O)Cc1c[n+]([O-])c2ccccc2[n+]1[O-],-0.7,82.7
COC(=O)c1c(CSC)[n+]([O-])c2ccccc2[n+]1[O-].O=C(OO)c1cccc(Cl)c1,COC(=O)c1c(CS(C)=O)[n+]([O-])c2ccccc2[n+]1[O-],-0.8,109.0
CCS(=O)(=O)Cc1c(C(=O)OC)[n+]([O-])c2ccccc2[n+]1[O-],CCS(=O)(=O)Cc1c[n+]([O-])c2ccccc2[n+]1[O-],-0.5,88.9
Cc1cc2cccc(C)c2o1.Cc1cccc2ccoc12,Cc1cccc2cc(C=O)oc12,2.5,30.2
CC(=O)C(=NO)C(C)C.CC(=O)CC(C)C.O=NCl,Cc1nc(C(C)C)c(C)nc1C(C)C,2.9,25.8
CCCCC(=NO)C(C)=O.CCCCCC(C)=O.O=NCl,CCCCc1nc(C)c(CCCC)nc1C,4.0,25.8
CCCCCC(=NO)C(C)=O.CCCCCCC(C)=O.O=NCl,CCCCCc1nc(C)c(CCCCC)nc1C,5.1,25.8
CCCCCCC(=NO)C(C)=O.CCCCCCCC(C)=O.O=NCl,CCCCCCc1nc(C)c(CCCCCC)nc1C,6.2,25.8
Cc1ccc(CBr)o1.c1coc(COCc2ccco2)c1,Cc1ccc(COCc2ccco2)o1,1.7,35.5
CC(C)CC=O.Cc1cscn1,Cc1csc(C(O)CC(C)C)n1,2.2,61.4
Cc1cccc2ccoc12.O=Cc1cc2ccccc2o1,Cc1cccc2cc(C=O)oc12,2.5,30.2
CC(=O)Cl.c1coc(Cn2cccc2)c1,CC(=O)c1cccn1Cc1ccco1,1.4,35.1
CCC(=O)Cl.Cc1cscn1,CCC(=O)c1nc(C)cs1,1.8,58.2
CC(=O)N(C)C.Nc1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,Cn1c(=O)c2cccnc2n(Cc2ccc(F)cc2)c1=N,1.8,60.3
Clc1ccc2c(Cl)ncnc2c1.NCCCCCCCCCN,Clc1ccc2c(NCCCCCCCCCNc3ncnc4cc(Cl)ccc34)ncnc2c1,7.8,75.6
BrCCBr.COC(=O)c1ccc(O)c(O)c1,COC(=O)c1ccc2c(c1)OCCO2,0.6,44.8
COC(=O)c1ccc2c(c1)OCCO2.O=[N+]([O-])O,COC(=O)c1cc2c(cc1[N+](=O)[O-])OCCO2,1.3,90.6
COC(=O)c1cc2c(cc1[N+](=O)[O-])OCCO2,COC(=O)c1cc2c(cc1N)OCCO2,1.4,70.8
COC(=O)c1cc2c(cc1N)OCCO2.NC=O,O=c1[nH]cnc2cc3c(cc12)OCCO3,0.4,59.9
O=P(Cl)(Cl)Cl.O=c1[nH]cnc2cc3c(cc12)OCCO3,Clc1ncnc2cc3c(cc12)OCCO3,2.2,44.2
CCN(CC)c1nc(O)cc(O)n1.COS(=O)(=O)OC,CCN(CC)c1nc(O)cc(OC)n1,0.2,53.9
CCOS(=O)(=O)OCC.CN(C)c1nc(O)cc(O)n1,CCOc1cc(O)nc(N(C)C)n1,-0.2,53.9
CCOS(=O)(=O)OCC.COc1nc(O)cc(O)n1,CCOc1cc(O)nc(OC)n1,0.2,59.9
COS(=O)(=O)OC.COc1nc(O)cc(O)n1,COc1cc(O)nc(OC)n1,-0.1,59.9
CCOS(=O)(=O)OCC.CSc1nc(O)cc(O)n1,CCOc1cc(O)nc(SC)n1,0.8,76.0
CCCOS(=O)(=O)c1ccc(C)cc1.CN(C)c1nc(O)cc(O)n1,CCCOc1cc(O)nc(N(C)C)n1,0.4,53.9
CC(C)(C)[O-].CNc1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,CN(C)c1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,1.7,48.8
CC#N.O=C1CCCc2ccccc21,NCCC1=CCCc2ccccc21,1.9,26.0
CCOC(=O)CCl.COc1ccc(C=O)cc1,CCOC(=O)C1OC1c1ccc(OC)cc1,1.7,48.1
CCOC(=O)C1OC1c1ccc(OC)cc1.NCCC1=CCCc2ccccc21,COc1ccc(CC2NCCC3=C2CCc2ccccc23)cc1,3.5,21.3
CNC(=O)CCC(=O)c1ccc(O)cc1.ClCC1CO1,CNC(=O)CCC(=O)c1ccc(OCC2CO2)cc1,0.5,67.9
CC(C)N.CNC(=O)CCC(=O)c1ccc(OCC2CO2)cc1,CNC(=O)CCC(=O)c1ccc(OCC(O)CNC(C)C)cc1,0.1,87.7
CNC(=O)CCC(=O)c1ccc(OCC(O)CNC(C)C)cc1.NN,CC(C)NCC(O)COc1ccc(C2=NNC(=O)CC2)cc1,0.6,83.0
BrCC1CO1.COC(=O)CCC(=O)c1ccccc1O,COC(=O)CCC(=O)c1ccccc1OCC1CO1,1.0,65.1
CC(C)N.COC(=O)CCC(=O)c1ccccc1OCC1CO1,COC(=O)CCC(=O)c1ccccc1OCC(O)CNC(C)C,1.1,84.9
CC(C)N.CN1N=C(c2ccccc2OCC2CO2)CCC1=O,CC(C)NCC(O)COc1ccccc1C1=NN(C)C(=O)CC1,0.8,74.2
ClCC1CO1.O=C1CCC(c2ccc(O)c3ccccc23)=NN1,O=C1CCC(c2ccc(OCC3CO3)c3ccccc23)=NN1,1.8,63.2
C=CCc1ccc(C(=O)CCC(=O)OC)cc1O.NN,C=CCc1ccc(C2=NNC(=O)CC2)cc1O,1.6,61.7
C=CCBr.O=C1CCC(c2cccc(O)c2)=NN1,C=CCOc1cccc(C2=NNC(=O)CC2)c1,1.5,50.7
C=CCBr.O=C1CCC(c2ccc(O)cc2)=NN1,C=CCOc1ccc(C2=NNC(=O)CC2)cc1,1.5,50.7
C=CCOc1ccc(C2=NNC(=O)CC2)cc1.CN(C)c1ccccc1,C=CCc1cc(C2=NNC(=O)CC2)ccc1O,1.6,61.7
C=CCc1cc(C2=NNC(=O)CC2)ccc1O.ClCC1CO1,C=CCc1cc(C2=NNC(=O)CC2)ccc1OCC1CO1,1.7,63.2
ClCC1CO1.O=C1CCC(c2cccc(O)c2)=NN1,O=C1CCC(c2cccc(OCC3CO3)c2)=NN1,0.6,63.2
CC(C)(C)N.COc1cc(C2=NNC(=O)CC2)ccc1OCC1CO1,COc1cc(C2=NNC(=O)CC2)ccc1OCC(O)CNC(C)(C)C,0.8,92.2
Cc1ccc(C(=O)CCC(=O)O)cc1O.NN,Cc1ccc(C2=NNC(=O)CC2)cc1O,0.9,61.7
Cc1ccc(C2=NNC(=O)CC2)cc1O.ClCC1CO1,Cc1ccc(C2=NNC(=O)CC2)cc1OCC1CO1,1.0,63.2
CC(C)(C)N.Cc1ccc(C2=NNC(=O)CC2)cc1OCC1CO1,Cc1ccc(C2=NNC(=O)CC2)cc1OCC(O)CNC(C)(C)C,1.2,83.0
CC(C)(C)N.O=C1CCC(c2ccc(OCC3CO3)c([N+](=O)[O-])c2)=NN1,CC(C)(C)NCC(O)COc1ccc(C2=NNC(=O)CC2)cc1[N+](=O)[O-],0.7,129.0
OCCN(CCO)c1cc(Br)ccc1O,Oc1ccc(Br)cc1N1CCOCC1,2.0,32.7
O=C(O)CCC(=O)c1cc([N+](=O)[O-])ccc1O,Nc1ccc(O)c(C(=O)CCC(=O)O)c1,0.6,101.0
CC(=O)OC(C)=O.Nc1ccc(O)c(C(=O)CCC(=O)O)c1,CC(=O)Nc1ccc(O)c(C(=O)CCC(=O)O)c1,0.4,104.0
CC(=O)Nc1ccc(O)c(C(=O)CCC(=O)O)c1.ClC(Cl)Cl,COC(=O)CCC(=O)c1cc(NC(C)=O)ccc1O,0.7,92.7
BrCC1CO1.COC(=O)CCC(=O)c1cc(NC(C)=O)ccc1O,COC(=O)CCC(=O)c1cc(NC(C)=O)ccc1OCC1CO1,0.2,94.2
COC(=O)CCC(=O)c1cc(NC(C)=O)ccc1OCC(O)CNC(C)(C)C.NN,CC(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C2=NNC(=O)CC2)c1,0.0,112.0
Nc1cc(C(=O)CCC(=O)O)ccc1F.O=N[O-],O=C(O)CCC(=O)c1ccc(F)c(O)c1,0.8,74.6
CCOC(=O)CCC(=O)c1ccc(OC)c(OC)c1,CCOC(=O)CCC(=O)c1ccc(O)c(O)c1,1.0,83.8
O=C(O)CCC(=O)c1ccc(F)cc1.O=[N+]([O-])O,O=C(O)CCC(=O)c1ccc(F)c([N+](=O)[O-])c1,1.0,100.0
CC(=O)Oc1cc(C(=O)C(C)CC(=O)O)ccc1[N+](=O)[O-],CC(CC(=O)O)C(=O)c1ccc([N+](=O)[O-])c(O)c1,1.6,120.0
Nc1ccc(C(=O)CCC(=O)O)cc1[N+](=O)[O-].[C-]#N,N#Cc1ccc(C(=O)CCC(=O)O)cc1[N+](=O)[O-],0.6,124.0
O=C(O)CCC(=O)c1ccc([N+](=O)[O-])c(OCc2ccccc2)c1,Nc1ccc(C(=O)CCC(=O)O)cc1OCc1ccccc1,1.8,89.6
Nc1ccc(C(=O)CCC(=O)O)cc1OCc1ccccc1.O=N[O-].[C-]#N,N#Cc1ccc(C(=O)CCC(=O)O)cc1OC(=O)c1ccccc1,2.2,105.0
N#Cc1ccc(C(=O)CCC(=O)O)cc1OCc1ccccc1,N#Cc1ccc(C(=O)CCC(=O)O)cc1O,1.0,98.4
COC(=O)CCC(=O)c1cc(NC(C)=O)ccc1OCC(O)CNC(C)(C)C.NN,CC(C)(C)NCC(O)COc1ccc(N)cc1C1=NNC(=O)CC1,0.2,109.0
CC(C)(C)NCC(O)COc1ccc(N)cc1C(=O)CCC(=O)O.O=C([O-])[O-],COC(=O)CCC(=O)c1cc(N)ccc1OCC(O)CNC(C)(C)C,0.6,111.0
CNc1ccc(OCC(O)CNC(C)(C)C)c(C(=O)CCC(=O)O)c1.NN,CNc1ccc(OCC(O)CNC(C)(C)C)c(C2=NNC(=O)CC2)c1,0.8,95.0
CCC1N=CC(C)C(CC)N1,CCc1ncc(C)cc1C,2.4,12.9
O=[PH]1CCCc2ccccc21.OO,O=P1(O)CCCc2ccccc21,0.8,37.3
O=P1(O)CCCc2ccccc21.O=S(Cl)Cl,O=P1(Cl)CCCc2ccccc21,2.1,17.1
C=CP1(=O)CCCc2ccccc21,C=CP1(=O)CC=Cc2ccccc21,1.8,17.1
C=CP(=O)(C=C)c1ccccc1.CN,CN1CCP(=O)(c2ccccc2)CC1,0.7,20.3
BrCCc1ccccc1.ClP(Cl)CCCc1ccccc1,ClP(Cl)CCc1ccccc1,3.6,0.0
CCP1(=O)CCCc2ccccc21,CCP1(=O)C=Cc2ccccc21,1.4,17.1
C=CP1(=O)C=C(Br)c2ccccc21,C=CP1(=O)C=Cc2ccccc21,1.6,17.1
COC(=O)c1c(OC)cc(CC(C#N)=CN2CCOCC2)cc1OC.Nc1ccccc1,COC(=O)c1c(OC)cc(CC(C#N)=CNc2ccccc2)cc1OC,4.0,80.6
CCO.COC(=O)c1cc(OC)c(Cc2cnc(N)nc2N)c(OC)c1,CCOC(=O)c1cc(OC)c(Cc2cnc(N)nc2N)c(OC)c1,2.1,123.0
CCOC(=O)c1c(OCC)cc(C(=O)Cl)cc1OCC,CCOC(=O)c1c(OCC)cc(C=O)cc1OCC,2.3,61.8
CCOC(=O)c1c(OCC)cc(CC(C#N)=CN2CCOCC2)cc1OCC.CC[O-].CS(C)=O.N=C(N)N.O=C(O)O,CCOC(=O)c1cc(OCC)c(Cc2cnc(N)nc2N)c(OCC)c1,1.9,123.0
COC(=O)c1cc(OC)c(C#N)c(OC)c1,COC(=O)c1cc(OC)c(CN)c(OC)c1,0.6,70.8
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1C(=O)CS(C)(=O)=O,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1C(C)=O,2.0,113.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1C(=O)CS(C)(=O)=O,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1C(C)=O,1.1,113.0
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1C(=O)CS(C)(=O)=O,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1C(O)CS(C)(=O)=O,0.2,159.0
COc1cc(Cc2cnc(N)nc2NC(C)=O)cc(OC)c1C(C)(C)O,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1C(C)(C)O,1.5,117.0
CCOC(=O)CC#N.COC(=O)c1c(OC)cc(C=O)cc1OC,CCOC(=O)C(C#N)=Cc1cc(OC)c(C(=O)OC)c(OC)c1,2.3,94.8
CCOC(=O)C(C#N)=CC1C=C(OC)C(OC)=C(OC)C1=C=O,CCOC(=O)C(C#N)=CC1C=C(OC)C(C(=O)OC)=C(OC)C1,1.5,94.8
COC(=O)c1cc(OC)c(Cc2c(N)nc(N)nc2O)c(OC)c1.O=P(Cl)(Cl)Cl,COC(=O)c1cc(OC)c(Cc2c(N)nc(N)nc2Cl)c(OC)c1,2.2,123.0
CC1CC(=O)CC(C)C1.[C-]#N,CC1CC(C)CC(O)(C#N)C1,1.8,44.0
CCOC(=O)C1(O)CC(C)CC(C)C1.N=C(N)N,CC1CC(C)CC2(C1)OC(N)=NC2=O,2.1,62.2
CCc1ccc(C(c2ccccc2)C2CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,CCc1ccc(C(c2ccccc2)C2CCN(CCCC(=O)c3ccc(N4CCCCC4)cc3)CC2)cc1,7.9,23.6
C[n+]1ccccc1C=Cc1ccccc1[N+](=O)[O-],CN1CCCCC1CCc1ccccc1N,2.8,29.3
O=[N+]([O-])c1ccccc1C=Cc1ccccn1,Nc1ccccc1CCc1ccccn1,2.4,38.9
CC(=O)OC(C)=O.Nc1ccccc1CCc1ccccn1,O=CNc1ccccc1CCc1ccccn1,2.3,42.0
C[n+]1ccccc1CCc1ccccc1NC=O,CN1CCCCC1CCc1ccccc1NC=O,2.7,32.3
COc1ccc([N+](=O)[O-])c(C=Cc2ccccn2)c1,COc1ccc(N)c(CCc2ccccn2)c1,2.4,48.1
CCN(CC)C(=O)c1ccc(C)nc1,NC(=O)c1cccnc1,-0.4,56.0
CCN(CC)C(=O)c1ccc(C=Cc2ccccc2[N+](=O)[O-])nc1,CCN(CC)C(=O)c1ccc(CCc2ccccc2N)nc1,2.6,59.2
CCN(CC)C(=O)c1ccc(CCc2ccccc2NC=O)[n+](C)c1,CCN(CC)C(=O)C1CCC(CCc2ccccc2NC=O)N(C)C1,2.5,52.6
CCc1ccc(C=Cc2ccccc2[N+](=O)[O-])nc1,CCc1ccc(CCc2ccccc2N)nc1,3.2,38.9
CC(=O)OC(C)=O.CCc1ccc(CCc2ccccc2N)nc1,CCc1ccc(CCc2ccccc2NC=O)nc1,3.1,42.0
CN1CCCCC1CCc1ccccc1N.O=C(Cl)C=Cc1ccccc1,CN1CCCCC1CCc1ccccc1NC(=O)C=Cc1ccccc1,4.7,32.3
